created_at,entry_id,field1,field2,field3,field4
2018-11-06 19:17:02 UTC,291623,0,35.8,28.062,24.937
2018-11-06 19:17:18 UTC,291624,0,35.8,28.062,24.937
2018-11-06 19:17:34 UTC,291625,0,35.8,28.062,24.937
2018-11-06 19:17:50 UTC,291626,0,36.3,28.062,24.937
2018-11-06 19:18:20 UTC,291627,0,36.9,28.062,24.937
2018-11-06 19:18:50 UTC,291628,0,36.3,28.062,24.937
2018-11-06 19:19:17 UTC,291629,0,35.8,28.062,24.937
2018-11-06 19:19:39 UTC,291630,0,36.3,28.062,24.937
2018-11-06 19:20:03 UTC,291631,0,35.8,28.062,24.937
2018-11-06 19:20:33 UTC,291632,0,35.8,28.062,24.937
2018-11-06 19:20:48 UTC,291633,0,36.3,28.062,24.937
2018-11-06 19:21:18 UTC,291634,0,35.8,28.062,24.937
2018-11-06 19:21:34 UTC,291635,0,35.8,28.062,24.937
2018-11-06 19:21:49 UTC,291636,0,36.3,28.062,24.937
2018-11-06 19:22:17 UTC,291637,0,35.8,28.062,24.937
2018-11-06 19:22:33 UTC,291638,0,35.8,28.062,24.937
2018-11-06 19:23:05 UTC,291639,0,35.8,28.0,24.937
2018-11-06 19:23:34 UTC,291640,0,35.8,27.937,24.937
2018-11-06 19:24:02 UTC,291641,0,35.8,27.937,24.937
2018-11-06 19:24:33 UTC,291642,0,36.3,27.937,25.0
2018-11-06 19:24:50 UTC,291643,0,35.8,27.937,25.0
2018-11-06 19:25:17 UTC,291644,0,35.8,27.937,24.937
2018-11-06 19:25:48 UTC,291645,0,35.8,27.937,24.937
2018-11-06 19:26:05 UTC,291646,0,35.8,27.937,24.937
2018-11-06 19:26:32 UTC,291647,0,35.8,27.937,24.937
2018-11-06 19:26:49 UTC,291648,0,35.8,27.937,24.937
2018-11-06 19:27:17 UTC,291649,0,35.8,27.937,25.0
2018-11-06 19:27:49 UTC,291650,0,35.8,27.812,25.0
2018-11-06 19:28:17 UTC,291651,0,35.8,27.812,25.0
2018-11-06 19:28:33 UTC,291652,0,35.8,27.875,25.0
2018-11-06 19:28:49 UTC,291653,0,35.8,27.875,25.0
2018-11-06 19:29:04 UTC,291654,0,35.8,27.875,25.0
2018-11-06 19:29:21 UTC,291655,0,35.8,27.812,25.0
2018-11-06 19:29:49 UTC,291656,0,35.8,27.812,25.0
2018-11-06 19:30:17 UTC,291657,0,35.8,27.875,25.0
2018-11-06 19:30:33 UTC,291658,0,35.8,27.812,25.0
2018-11-06 19:31:02 UTC,291659,0,35.8,27.812,25.0
2018-11-06 19:31:17 UTC,291660,0,35.8,27.812,25.0
2018-11-06 19:31:34 UTC,291661,0,35.8,27.812,25.0
2018-11-06 19:31:52 UTC,291662,0,35.8,27.812,25.0
2018-11-06 19:32:17 UTC,291663,0,35.8,27.812,25.062
2018-11-06 19:32:35 UTC,291664,0,35.8,27.812,25.062
2018-11-06 19:33:02 UTC,291665,0,35.8,27.812,25.0
2018-11-06 19:33:18 UTC,291666,0,35.8,27.812,25.062
2018-11-06 19:33:50 UTC,291667,0,35.8,27.875,25.0
2018-11-06 19:34:19 UTC,291668,0,35.8,27.875,25.0
2018-11-06 19:34:49 UTC,291669,0,35.8,27.875,25.0
2018-11-06 19:35:06 UTC,291670,0,35.8,27.875,25.0
2018-11-06 19:35:35 UTC,291671,0,36.3,27.875,25.0
2018-11-06 19:36:19 UTC,291672,0,35.2,27.875,25.0
2018-11-06 19:36:52 UTC,291673,0,35.8,27.812,25.0
2018-11-06 19:37:20 UTC,291674,0,35.8,27.812,25.062
2018-11-06 19:37:51 UTC,291675,0,35.2,27.812,25.062
2018-11-06 19:38:08 UTC,291676,0,35.8,27.812,25.062
2018-11-06 19:38:34 UTC,291677,0,35.8,27.812,25.062
2018-11-06 19:39:04 UTC,291678,0,35.8,27.812,25.062
2018-11-06 19:39:32 UTC,291679,0,35.8,27.812,25.062
2018-11-06 19:39:49 UTC,291680,0,35.8,27.812,25.062
2018-11-06 19:40:04 UTC,291681,0,35.8,27.812,25.062
2018-11-06 19:40:33 UTC,291682,0,35.8,27.812,25.062
2018-11-06 19:40:49 UTC,291683,0,35.8,27.812,25.062
2018-11-06 19:41:19 UTC,291684,0,35.8,27.812,25.0
2018-11-06 19:41:48 UTC,291685,0,35.8,27.812,25.0
2018-11-06 19:42:18 UTC,291686,0,35.8,27.812,25.062
2018-11-06 19:42:33 UTC,291687,0,35.8,27.812,25.062
2018-11-06 19:42:48 UTC,291688,0,35.8,27.812,25.062
2018-11-06 19:43:05 UTC,291689,0,35.8,27.812,25.062
2018-11-06 19:43:35 UTC,291690,0,35.8,27.812,25.062
2018-11-06 19:44:04 UTC,291691,0,35.8,27.75,25.062
2018-11-06 19:44:34 UTC,291692,0,35.8,27.75,25.062
2018-11-06 19:45:02 UTC,291693,0,35.8,27.75,25.062
2018-11-06 19:45:18 UTC,291694,0,35.8,27.75,25.062
2018-11-06 19:45:36 UTC,291695,0,35.8,27.812,25.062
2018-11-06 19:46:05 UTC,291696,0,35.8,27.812,25.062
2018-11-06 19:46:35 UTC,291697,0,35.8,27.812,25.062
2018-11-06 19:46:50 UTC,291698,0,35.8,27.812,25.062
2018-11-06 19:47:17 UTC,291699,0,35.8,27.812,25.062
2018-11-06 19:47:35 UTC,291700,0,36.9,27.812,25.062
2018-11-06 19:48:05 UTC,291701,0,36.3,27.812,25.062
